target_id,rank,sep,simbad_identifier,ra,pm_ra,dec,pm_dec,ra_d,dec_d,plx,rv,z,magB,magV,sp_type
7087,2,3.97,HD 129413,14:41:57.85136,35.78,+17:53:06.3273,-136.64,220.49104735,+17.88509092,15.38,25.50,0.000085,9.04,8.47,G0
7088,2,5.46,1RXS J144157.5+175303,14:41:57.50,~,+17:53:03.5,~,220.48958,+17.88431,~,~,~,~,~,~
7089,2,5.73,1RXS J144157.5+175303,14:41:57.50,~,+17:53:03.5,~,220.48958,+17.88431,~,~,~,~,~,~
7090,2,6.32,NGC 5996,15:46:58.872,~,+17:53:03.18,~,236.745300,+17.884217,~,3366,0.011291,13.2,~,~
7090,3,6.45,ASASSN -15db,15:46:58.690,~,+17:53:02.55,~,236.744542,+17.884042,~,~,~,~,~,SN.Ia
7090,4,6.51,SDSS J154658.88+175303.0,15:46:58.887,~,+17:53:03.06,~,236.745362,+17.884183,~,3274,0.01098,~,~,~
7100,2,0.3,PMSC 06086+1756,06:14:28.6,~,+17:54:23,~,093.6192,+17.9064,~,~,~,~,~,~
7109,2,0.12,* del03 Tau A,04:25:29.388,116.9,+17:55:40.47,-33.5,066.372450,+17.927908,~,~,~,4.30,4.25,~
7109,3,1.71,* del03 Tau B,04:25:29.338,108.3,+17:55:42.10,-32.5,066.372242,+17.928361,~,~,~,~,9.70,~
7110,2,0.17,* del03 Tau A,04:25:29.388,116.9,+17:55:40.47,-33.5,066.372450,+17.927908,~,~,~,4.30,4.25,~
7110,3,1.62,* del03 Tau B,04:25:29.338,108.3,+17:55:42.10,-32.5,066.372242,+17.928361,~,~,~,~,9.70,~
7111,2,1.76,* del03 Tau,04:25:29.38340,107.60,+17:55:40.4579,-34.54,066.37243082,+17.92790497,21.96,39.00,0.000130,4.366,4.311,A2IV-Vs
7111,3,1.77,* del03 Tau A,04:25:29.388,116.9,+17:55:40.47,-33.5,066.372450,+17.927908,~,~,~,4.30,4.25,~
7119,2,5.81,[ITH2008] HBC 397-cc1,04:32:09.636,~,+17:57:26.28,~,068.040150,+17.957300,~,~,~,~,~,~
7119,3,7.22,[ITH2008] HBC 397-cc2,04:32:09.710,~,+17:57:18.77,~,068.040458,+17.955214,~,~,~,~,~,~
7137,2,8.79,LP 415-875,04:26:22.0,~,+18:00:00,~,066.5917,+18.0000,~,~,~,17.69,15.89,~
7143,2,1.5,IRAS 19378+1753,19:40:05.7,~,+18:00:49,~,295.0238,+18.0135,~,~,~,~,~,~
