target_id,rank,sep,simbad_identifier,ra,pm_ra,dec,pm_dec,ra_d,dec_d,plx,rv,z,magB,magV,sp_type
7507,3,8.05,[HBE2010] s03c,19:53:43.61,~,+18:47:25.1,~,298.43171,+18.79031,~,~,~,~,~,~
7507,4,8.58,Cl* NGC 6838 KC 374,19:53:44.1,~,+18:47:34,~,298.4337,+18.7928,~,2.45,0.000008,17.5,16.27,~
7507,5,8.77,[HBE2010] s03b,19:53:43.62,~,+18:47:24.4,~,298.43175,+18.79011,~,~,~,19.09,~,~
7507,6,9.28,[HBE2010] s03a,19:53:43.66,~,+18:47:24.0,~,298.43192,+18.79000,~,~,~,18.35,~,~
7510,2,5.38,2MASS J19534575+1847547,19:53:45.757,~,+18:47:54.80,~,298.440654,+18.798556,~,-24.32,-0.000081,14.255,12.482,~
7510,3,6.42,Cl* NGC 6838 ASC 387,19:53:45.0,~,+18:47:50,~,298.4375,+18.7972,~,-9.97,-0.000033,~,~,~
7511,2,7.18,1RXS J033055.9+184804,03:30:55.901,~,+18:48:04.50,~,052.732921,+18.801250,~,~,~,~,~,~
7512,2,5.01,[HBE2010] s14b,19:53:47.45,~,+18:47:59.4,~,298.44771,+18.79983,~,~,~,~,~,~
7512,3,5.25,[HBE2010] s14a,19:53:47.43,~,+18:48:00.1,~,298.44763,+18.80003,~,~,~,~,~,~
7512,4,7.07,2MASS J19534827+1848021,19:53:48.274,~,+18:48:02.17,~,298.451142,+18.800603,~,-20.39,-0.000068,14.080,12.346,~
7512,5,9.29,NGC 6838 1044,19:53:47.152,~,+18:48:01.28,~,298.446467,+18.800356,~,~,~,14.80,13.54,~
7513,2,9.01,[HBE2010] s14c,19:53:47.47,~,+18:47:59.9,~,298.44779,+18.79997,~,~,~,~,~,~
7513,3,9.37,[HBE2010] s14b,19:53:47.45,~,+18:47:59.4,~,298.44771,+18.79983,~,~,~,~,~,~
7513,4,9.56,[HBE2010] s14a,19:53:47.43,~,+18:48:00.1,~,298.44763,+18.80003,~,~,~,~,~,~
